,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
2342,2.0,1.0,760.0,sqft,3072.0,sqft,98144.0,250000.0
2302,1.0,1.0,,sqft,,,98104.0,250000.0
2079,1.0,1.0,,sqft,,,98104.0,250000.0
2142,1.0,1.0,,sqft,,,98104.0,250000.0
2458,2.0,1.0,760.0,sqft,3072.0,sqft,98144.0,250000.0
2062,2.0,1.0,760.0,sqft,3072.0,sqft,98144.0,250000.0
2037,2.0,1.0,760.0,sqft,3072.0,sqft,98144.0,250000.0
2107,1.0,1.0,,sqft,,,98104.0,250000.0
2151,1.0,1.0,,sqft,,,98104.0,250000.0
2086,2.0,1.0,760.0,sqft,3072.0,sqft,98144.0,250000.0
2603,1.0,1.0,529.0,sqft,,,98118.0,265000.0
2601,1.0,1.0,529.0,sqft,,,98118.0,265000.0
2529,1.0,1.0,529.0,sqft,,,98118.0,265000.0
2774,1.0,1.0,529.0,sqft,,,98118.0,265000.0
2950,1.0,1.0,774.0,sqft,,,98146.0,265000.0
2735,1.0,1.0,774.0,sqft,,,98146.0,265000.0
2613,1.0,1.0,529.0,sqft,,,98118.0,265000.0
2542,1.0,1.0,529.0,sqft,,,98118.0,265000.0
2783,1.0,1.0,529.0,sqft,,,98118.0,265000.0
2507,1.0,1.0,774.0,sqft,,,98146.0,265000.0
3408,,1.0,480.0,sqft,560.0,sqft,98109.0,275000.0
3251,1.0,1.0,626.0,sqft,2.63,acre,98115.0,275000.0
3223,,1.0,480.0,sqft,560.0,sqft,98109.0,275000.0
3069,1.0,1.0,468.0,sqft,,,98109.0,275000.0
3361,1.0,1.0,626.0,sqft,2.63,acre,98115.0,275000.0
2995,1.0,1.0,468.0,sqft,,,98109.0,275000.0
3012,,1.0,480.0,sqft,560.0,sqft,98109.0,275000.0
3255,1.0,1.0,626.0,sqft,2.63,acre,98115.0,275000.0
2972,1.0,1.0,626.0,sqft,2.63,acre,98115.0,275000.0
3014,1.0,1.0,626.0,sqft,2.63,acre,98115.0,275000.0
3610,1.0,,,sqft,1.17,acre,98109.0,280000.0
3777,1.0,,,sqft,1.17,acre,98109.0,280000.0
3825,1.0,,,sqft,1.17,acre,98109.0,280000.0
3577,2.0,2.0,1370.0,sqft,,,98168.0,280000.0
3509,1.0,,,sqft,1.17,acre,98109.0,280000.0
3698,1.0,,,sqft,1.17,acre,98109.0,280000.0
3436,2.0,2.0,1370.0,sqft,,,98168.0,280000.0
3525,1.0,,,sqft,1.17,acre,98109.0,280000.0
3613,1.0,,,sqft,1.17,acre,98109.0,280000.0
3793,1.0,,,sqft,1.17,acre,98109.0,280000.0
3954,1.0,1.0,700.0,sqft,,,98109.0,300000.0
4343,,1.0,1027.0,sqft,,,98115.0,300000.0
3906,,1.0,1027.0,sqft,,,98115.0,300000.0
3980,,1.0,1027.0,sqft,1.83,acre,98115.0,300000.0
4010,,1.0,1027.0,sqft,1.83,acre,98115.0,300000.0
4058,,1.0,533.0,sqft,,,,300000.0
4042,,1.0,533.0,sqft,,,,300000.0
4092,,1.0,1027.0,sqft,1.83,acre,98115.0,300000.0
4322,,1.0,1027.0,sqft,1.83,acre,98115.0,300000.0
4127,,1.0,1027.0,sqft,1.83,acre,98115.0,300000.0
4402,,1.0,696.0,sqft,4.27,acre,,305000.0
4437,1.0,1.0,645.0,sqft,,,98126.0,305000.0
4359,,1.0,696.0,sqft,4.27,acre,,305000.0
4426,1.0,1.0,645.0,sqft,,,98126.0,305000.0
4595,1.0,,,sqft,,,98102.0,305000.0
4596,1.0,,,sqft,,,98102.0,305000.0
4463,1.0,,,sqft,,,98102.0,305000.0
4583,,1.0,696.0,sqft,4.27,acre,,305000.0
4644,1.0,1.0,645.0,sqft,,,98126.0,305000.0
4702,1.0,,,sqft,,,98102.0,305000.0
4836,1.0,,515.0,sqft,,,98116.0,309000.0
4911,1.0,1.0,760.0,sqft,,,98119.0,309000.0
5104,1.0,,515.0,sqft,,,98116.0,309000.0
5024,1.0,,515.0,sqft,,,98116.0,309000.0
4827,1.0,1.0,760.0,sqft,,,98119.0,309000.0
5180,1.0,1.0,760.0,sqft,,,98119.0,309000.0
